datetime(kst),location,state1,state2,count
2020-02-26 16:00:00,서울,확진,격리중,41
2020-02-26 16:00:00,서울,확진,격리해제,8
2020-02-26 16:00:00,서울,확진,사망,0
2020-02-26 16:00:00,서울,검사현황,검사중,3145
2020-02-26 16:00:00,서울,검사현황,결과음성,6508
2020-02-26 16:00:00,부산,확진,격리중,58
2020-02-26 16:00:00,부산,확진,격리해제,0
2020-02-26 16:00:00,부산,확진,사망,0
2020-02-26 16:00:00,부산,검사현황,검사중,1860
2020-02-26 16:00:00,부산,검사현황,결과음성,1543
2020-02-26 16:00:00,대구,확진,격리중,705
2020-02-26 16:00:00,대구,확진,격리해제,2
2020-02-26 16:00:00,대구,확진,사망,3
2020-02-26 16:00:00,대구,검사현황,검사중,2941
2020-02-26 16:00:00,대구,검사현황,결과음성,1894
2020-02-26 16:00:00,인천,확진,격리중,2
2020-02-26 16:00:00,인천,확진,격리해제,1
2020-02-26 16:00:00,인천,확진,사망,0
2020-02-26 16:00:00,인천,검사현황,검사중,295
2020-02-26 16:00:00,인천,검사현황,결과음성,2150
2020-02-26 16:00:00,광주,확진,격리중,7
2020-02-26 16:00:00,광주,확진,격리해제,2
2020-02-26 16:00:00,광주,확진,사망,0
2020-02-26 16:00:00,광주,검사현황,검사중,431
2020-02-26 16:00:00,광주,검사현황,결과음성,534
2020-02-26 16:00:00,대전,확진,격리중,5
2020-02-26 16:00:00,대전,확진,격리해제,0
2020-02-26 16:00:00,대전,확진,사망,0
2020-02-26 16:00:00,대전,검사현황,검사중,731
2020-02-26 16:00:00,대전,검사현황,결과음성,945
2020-02-26 16:00:00,울산,확진,격리중,4
2020-02-26 16:00:00,울산,확진,격리해제,0
2020-02-26 16:00:00,울산,확진,사망,0
2020-02-26 16:00:00,울산,검사현황,검사중,400
2020-02-26 16:00:00,울산,검사현황,결과음성,768
2020-02-26 16:00:00,세종,확진,격리중,1
2020-02-26 16:00:00,세종,확진,격리해제,0
2020-02-26 16:00:00,세종,확진,사망,0
2020-02-26 16:00:00,세종,검사현황,검사중,146
2020-02-26 16:00:00,세종,검사현황,결과음성,57
2020-02-26 16:00:00,경기,확진,격리중,41
2020-02-26 16:00:00,경기,확진,격리해제,9
2020-02-26 16:00:00,경기,확진,사망,1
2020-02-26 16:00:00,경기,검사현황,검사중,3780
2020-02-26 16:00:00,경기,검사현황,결과음성,8004
2020-02-26 16:00:00,강원,확진,격리중,6
2020-02-26 16:00:00,강원,확진,격리해제,0
2020-02-26 16:00:00,강원,확진,사망,0
2020-02-26 16:00:00,강원,검사현황,검사중,424
2020-02-26 16:00:00,강원,검사현황,결과음성,1299
2020-02-26 16:00:00,충북,확진,격리중,5
2020-02-26 16:00:00,충북,확진,격리해제,0
2020-02-26 16:00:00,충북,확진,사망,0
2020-02-26 16:00:00,충북,검사현황,검사중,693
2020-02-26 16:00:00,충북,검사현황,결과음성,1125
2020-02-26 16:00:00,충남,확진,격리중,3
2020-02-26 16:00:00,충남,확진,격리해제,0
2020-02-26 16:00:00,충남,확진,사망,0
2020-02-26 16:00:00,충남,검사현황,검사중,1042
2020-02-26 16:00:00,충남,검사현황,결과음성,1185
2020-02-26 16:00:00,전북,확진,격리중,2
2020-02-26 16:00:00,전북,확진,격리해제,1
2020-02-26 16:00:00,전북,확진,사망,0
2020-02-26 16:00:00,전북,검사현황,검사중,295
2020-02-26 16:00:00,전북,검사현황,결과음성,596
2020-02-26 16:00:00,전남,확진,격리중,0
2020-02-26 16:00:00,전남,확진,격리해제,1
2020-02-26 16:00:00,전남,확진,사망,0
2020-02-26 16:00:00,전남,검사현황,검사중,670
2020-02-26 16:00:00,전남,검사현황,결과음성,789
2020-02-26 16:00:00,경북,확진,격리중,309
2020-02-26 16:00:00,경북,확진,격리해제,0
2020-02-26 16:00:00,경북,확진,사망,8
2020-02-26 16:00:00,경북,검사현황,검사중,2677
2020-02-26 16:00:00,경북,검사현황,결과음성,1638
2020-02-26 16:00:00,경남,확진,격리중,34
2020-02-26 16:00:00,경남,확진,격리해제,0
2020-02-26 16:00:00,경남,확진,사망,0
2020-02-26 16:00:00,경남,검사현황,검사중,1045
2020-02-26 16:00:00,경남,검사현황,결과음성,1562
2020-02-26 16:00:00,제주,확진,격리중,2
2020-02-26 16:00:00,제주,확진,격리해제,0
2020-02-26 16:00:00,제주,확진,사망,0
2020-02-26 16:00:00,제주,검사현황,검사중,141
2020-02-26 16:00:00,제주,검사현황,결과음성,480
2020-02-26 16:00:00,검역,확진,격리중,0
2020-02-26 16:00:00,검역,확진,격리해제,0
2020-02-26 16:00:00,검역,확진,사망,0
2020-02-26 16:00:00,검역,검사현황,검사중,0
2020-02-26 16:00:00,검역,검사현황,결과음성,499
2020-02-27 16:00:00,서울,확진,격리중,47
2020-02-27 16:00:00,서울,확진,격리해제,9
2020-02-27 16:00:00,서울,확진,사망,0
2020-02-27 16:00:00,서울,검사현황,검사중,4160
2020-02-27 16:00:00,서울,검사현황,결과음성,7989
2020-02-27 16:00:00,부산,확진,격리중,61
2020-02-27 16:00:00,부산,확진,격리해제,0
2020-02-27 16:00:00,부산,확진,사망,0
2020-02-27 16:00:00,부산,검사현황,검사중,2502
2020-02-27 16:00:00,부산,검사현황,결과음성,2194
2020-02-27 16:00:00,대구,확진,격리중,1125
2020-02-27 16:00:00,대구,확진,격리해제,3
2020-02-27 16:00:00,대구,확진,사망,4
2020-02-27 16:00:00,대구,검사현황,검사중,3623
2020-02-27 16:00:00,대구,검사현황,결과음성,2356
2020-02-27 16:00:00,인천,확진,격리중,2
2020-02-27 16:00:00,인천,확진,격리해제,1
2020-02-27 16:00:00,인천,확진,사망,0
2020-02-27 16:00:00,인천,검사현황,검사중,589
2020-02-27 16:00:00,인천,검사현황,결과음성,2688
2020-02-27 16:00:00,광주,확진,격리중,7
2020-02-27 16:00:00,광주,확진,격리해제,2
2020-02-27 16:00:00,광주,확진,사망,0
2020-02-27 16:00:00,광주,검사현황,검사중,497
2020-02-27 16:00:00,광주,검사현황,결과음성,605
2020-02-27 16:00:00,대전,확진,격리중,9
2020-02-27 16:00:00,대전,확진,격리해제,0
2020-02-27 16:00:00,대전,확진,사망,0
2020-02-27 16:00:00,대전,검사현황,검사중,840
2020-02-27 16:00:00,대전,검사현황,결과음성,1237
2020-02-27 16:00:00,울산,확진,격리중,11
2020-02-27 16:00:00,울산,확진,격리해제,0
2020-02-27 16:00:00,울산,확진,사망,0
2020-02-27 16:00:00,울산,검사현황,검사중,381
2020-02-27 16:00:00,울산,검사현황,결과음성,1032
2020-02-27 16:00:00,세종,확진,격리중,1
2020-02-27 16:00:00,세종,확진,격리해제,0
2020-02-27 16:00:00,세종,확진,사망,0
2020-02-27 16:00:00,세종,검사현황,검사중,230
2020-02-27 16:00:00,세종,검사현황,결과음성,59
2020-02-27 16:00:00,경기,확진,격리중,52
2020-02-27 16:00:00,경기,확진,격리해제,9
2020-02-27 16:00:00,경기,확진,사망,1
2020-02-27 16:00:00,경기,검사현황,검사중,4304
2020-02-27 16:00:00,경기,검사현황,결과음성,9805
2020-02-27 16:00:00,강원,확진,격리중,6
2020-02-27 16:00:00,강원,확진,격리해제,0
2020-02-27 16:00:00,강원,확진,사망,0
2020-02-27 16:00:00,강원,검사현황,검사중,437
2020-02-27 16:00:00,강원,검사현황,결과음성,1486
2020-02-27 16:00:00,충북,확진,격리중,8
2020-02-27 16:00:00,충북,확진,격리해제,0
2020-02-27 16:00:00,충북,확진,사망,0
2020-02-27 16:00:00,충북,검사현황,검사중,716
2020-02-27 16:00:00,충북,검사현황,결과음성,1566
2020-02-27 16:00:00,충남,확진,격리중,12
2020-02-27 16:00:00,충남,확진,격리해제,0
2020-02-27 16:00:00,충남,확진,사망,0
2020-02-27 16:00:00,충남,검사현황,검사중,1547
2020-02-27 16:00:00,충남,검사현황,결과음성,1371
2020-02-27 16:00:00,전북,확진,격리중,4
2020-02-27 16:00:00,전북,확진,격리해제,1
2020-02-27 16:00:00,전북,확진,사망,0
2020-02-27 16:00:00,전북,검사현황,검사중,311
2020-02-27 16:00:00,전북,검사현황,결과음성,743
2020-02-27 16:00:00,전남,확진,격리중,0
2020-02-27 16:00:00,전남,확진,격리해제,1
2020-02-27 16:00:00,전남,확진,사망,0
2020-02-27 16:00:00,전남,검사현황,검사중,635
2020-02-27 16:00:00,전남,검사현황,결과음성,1089
2020-02-27 16:00:00,경북,확진,격리중,337
2020-02-27 16:00:00,경북,확진,격리해제,0
2020-02-27 16:00:00,경북,확진,사망,8
2020-02-27 16:00:00,경북,검사현황,검사중,3377
2020-02-27 16:00:00,경북,검사현황,결과음성,2127
2020-02-27 16:00:00,경남,확진,격리중,43
2020-02-27 16:00:00,경남,확진,격리해제,0
2020-02-27 16:00:00,경남,확진,사망,0
2020-02-27 16:00:00,경남,검사현황,검사중,1258
2020-02-27 16:00:00,경남,검사현황,결과음성,1909
2020-02-27 16:00:00,제주,확진,격리중,2
